Date,Activity Type,Lodging Location,Start Time,Duration,Activity Name,Activity Notes,Activity Start Address,Book Ahead Required?
"Tue, Nov 10, ",Food/Drink,Tokyo,19:30,1h30,Ameyoko market arcade,Ameyoko market arcade — dinner and first look at Tokyo,"6-chome-10-7 Ueno, Taito City, Tokyo 110-0005, Japan",No
"Wed, Nov 11, ",Temple/Shrine,Tokyo,8:00,2h00,Senso-ji and Nakamise,Senso-ji and Nakamise approach,"2-chome-3-1 Asakusa, Taito City, Tokyo 111-0032, Japan",No
"Wed, Nov 11, ",Sightseeing,Tokyo,10:15,1h00,Sumida River walk and Tokyo Skytree,Sumida River walk and Tokyo Skytree view,"Oshiage, Sumida City, Tokyo, Japan",No
"Wed, Nov 11, ",Garden,Tokyo,13:00,2h00,Imperial Palace East Gardens,Imperial Palace East Gardens (closed Mon/Fri),"1-1 Chiyoda, Chiyoda City, Tokyo 100-8111, Japan",No
"Wed, Nov 11, ",Museum,Tokyo,16:00,2h00,teamLab Borderless,teamLab Borderless — Azabudai Hills (optional),"5-chome-9-9 Toranomon, Minato City, Tokyo 106-0041, Japan",Yes — timed tickets
"Thu, Nov 12, ",Sightseeing,Fujikawaguchiko,13:30,1h30,Momiji Corridor,Momiji Corridor maples in afternoon light,"Kawaguchi, Fujikawaguchiko, Minamitsuru District, Yamanashi 401-0304, Japan",No
"Thu, Nov 12, ",Sightseeing,Fujikawaguchiko,15:15,1h15,Oishi Park,Oishi Park — Fuji across the lake,"Oishi, Fujikawaguchiko, Minamitsuru District, Yamanashi 401-0305, Japan",No
"Thu, Nov 12, ",Sightseeing,Fujikawaguchiko,17:30,1h30,Momiji Corridor,Momiji Corridor evening illumination and food stalls,"Kawaguchi, Fujikawaguchiko, Minamitsuru District, Yamanashi 401-0304, Japan",No
"Fri, Nov 13, ",Hike,Fujikawaguchiko,8:00,5h30,Mt. Tenjo,Mt. Tenjo to Mitsutoge ridge — 5 mi / 1800 ft,"1163-1 Azagawa, Fujikawaguchiko, Minamitsuru District, Yamanashi 401-0303, Japan",No
"Fri, Nov 13, ",Sightseeing,Fujikawaguchiko,15:00,1h30,Chureito Pagoda,Chureito Pagoda — 398 steps; shoot from the upper platform,"2-chome-4-1 Asama, Fujiyoshida, Yamanashi 403-0011, Japan",No
"Sat, Nov 14, ",Castle,Matsumoto,12:15,2h00,Matsumoto Castle,Matsumoto Castle — original keep; shoes off; very steep stairs,"4-1 Marunouchi, Matsumoto, Nagano 390-0873, Japan",No
"Sat, Nov 14, ",Neighborhood,Matsumoto,14:30,1h00,Nakamachi street,Nakamachi kura storehouse street,"3-chome-2-14 Chuo, Matsumoto, Nagano 390-0811, Japan",No
"Sat, Nov 14, ",Neighborhood,Matsumoto,15:30,0h45,Nawate-dori street,Nawate-dori frog street along the Metoba river,"3-chome-4-3 Ote, Matsumoto, Nagano 390-0874, Japan",No
"Sat, Nov 14, ",Museum,Matsumoto,16:15,0h45,Matsumoto City Museum of Art,Matsumoto City Museum of Art — Yayoi Kusama collection,"4-chome-2-22 Chuo, Matsumoto, Nagano 390-0811, Japan",No
"Sun, Nov 15, ",Museum,Kanazawa,12:30,2h00,21st Century Museum of Contemporary Art,21st Century Museum of Contemporary Art — CLOSED MONDAYS so do it today,"1-chome-2-1 Hirosaka, Kanazawa, Ishikawa 920-8509, Japan",Yes — Swimming Pool slot
"Sun, Nov 15, ",Museum,Kanazawa,15:00,1h00,D.T. Suzuki Museum,D.T. Suzuki Museum — CLOSED MONDAYS so do it today,"3-chome-4-20 Hondamachi, Kanazawa, Ishikawa 920-0964, Japan",No
"Sun, Nov 15, ",Neighborhood,Kanazawa,16:15,1h45,Higashi Chaya geisha district ,Higashi Chaya geisha district — Shima and Kaikaro teahouses,"1 Chome-13 Higashiyama, Kanazawa, Ishikawa 920-0831, Japan",No
"Mon, Nov 16, ",Garden,Kanazawa,7:00,2h30,Kenrokuen,Kenrokuen — yukitsuri rigged; free early window before official opening,"1 Kenrokumachi, Kanazawa, Ishikawa 920-0936, Japan",No
"Mon, Nov 16, ",Castle,Kanazawa,9:45,1h00,Kanazawa Castle,Kanazawa Castle grounds,"1-1 Marunouchi, Kanazawa, Ishikawa 920-0937, Japan",No
